Date,Open,High,Low,Close,Volume
2019-05-22,285.45,286.69,285.1,285.63,49482472.0
2019-05-21,285.83,286.93,285.55,286.51,46847085.0
2019-05-20,284.06,285.43,283.12,283.95,62877610.0
2019-05-17,285.14,288.6,285.12,285.84,100353024.0
2019-05-16,285.84,289.21,285.76,287.7,76749643.0
2019-05-15,281.59,285.77,281.36,285.06,73956407.0
2019-05-14,281.99,285.1,281.85,283.4,77003230.0
2019-05-13,282.42,283.49,279.93,280.86,127290527.0
2019-05-10,285.62,288.94,282.3,288.1,112429293.0
2019-05-09,285.23,287.33,283.3,286.66,103471104.0
2019-05-08,287.53,289.43,286.87,287.53,91568287.0
2019-05-07,290.15,290.81,285.81,287.93,144729908.0
2019-05-06,289.25,293.31,288.9,292.82,107198069.0
2019-05-03,292.82,294.34,291.3,294.03,56543653.0
2019-05-02,291.68,292.7,289.52,291.18,65030170.0
2019-05-01,294.72,294.95,291.8,291.81,71671870.0
2019-04-30,293.49,294.34,291.92,294.02,81111733.0
2019-04-29,293.51,294.45,293.41,293.87,57197747.0
2019-04-26,292.1,293.49,291.24,293.41,50916423.0
2019-04-25,292.12,292.78,290.73,292.05,57770862.0
2019-04-24,292.79,293.16,292.07,292.23,50392914.0
2019-04-23,290.68,293.14,290.42,292.88,52246633.0
2019-04-22,289.17,290.44,289.07,290.27,40160140.0
2019-04-18,290.1,290.32,288.66,290.02,68708513.0
2019-04-17,291.4,291.43,288.99,289.45,58268295.0
2019-04-16,290.95,291.01,289.5,290.16,52153197.0
2019-04-15,290.24,290.35,289.08,289.97,49596685.0
2019-04-12,290.0,290.47,288.26,290.16,69727782.0
2019-04-11,288.83,288.84,287.58,288.21,55093100.0
2019-04-10,287.77,288.39,287.31,288.29,52601499.0
2019-04-09,287.72,288.08,286.7,287.31,66142316.0
2019-04-08,288.1,288.91,287.37,288.79,53566335.0
2019-04-05,287.92,288.63,287.6,288.57,58621729.0
2019-04-04,286.78,287.46,286.01,287.18,48997505.0
2019-04-03,287.32,287.76,285.75,286.42,68243202.0
2019-04-02,286.04,286.23,285.09,285.97,40070351.0
2019-04-01,284.7,286.16,284.4,285.83,77617945.0
2019-03-29,282.39,282.84,281.14,282.48,82186806.0
2019-03-28,280.35,281.21,279.07,280.71,56238545.0
2019-03-27,281.11,281.76,277.93,279.65,72224722.0
2019-03-26,280.99,282.18,279.56,281.12,68125920.0
2019-03-25,278.87,280.19,277.64,279.04,85575197.0
2019-03-22,283.22,283.8,279.18,279.25,122659286.0
2019-03-21,280.64,285.18,280.59,284.73,79550375.0
2019-03-20,282.16,283.5,280.32,281.55,84609210.0
2019-03-19,283.51,284.36,281.41,282.4,90268121.0
2019-03-18,281.55,282.66,281.3,282.33,62199806.0
2019-03-15,280.54,282.21,280.33,281.31,81308979.0
2019-03-14,281.37,281.84,280.67,281.16,67518366.0
2019-03-13,280.48,282.38,280.3,281.34,80639153.0
2019-03-12,279.06,280.07,278.85,279.49,79667530.0
2019-03-11,275.26,278.62,275.23,278.44,65098897.0
2019-03-08,272.94,274.65,272.42,274.46,85795799.0
2019-03-07,276.83,276.99,274.07,275.01,94885089.0
2019-03-06,279.15,279.16,276.97,277.33,75039771.0
2019-03-05,279.54,279.76,278.41,279.02,59114559.0
2019-03-04,281.6,281.87,276.84,279.4,106494637.0
2019-03-01,280.44,280.88,278.82,280.42,78880548.0
2019-02-28,278.96,279.45,278.32,278.68,69268293.0
2019-02-27,278.52,279.59,277.48,279.2,56921570.0
2019-02-26,279.13,280.3,278.9,279.32,56844101.0
2019-02-25,280.73,281.31,279.43,279.52,69030699.0
2019-02-22,278.11,279.36,277.4,279.14,78114616.0
2019-02-21,277.7,278.1,276.35,277.42,64214727.0
2019-02-20,277.81,278.92,277.25,278.41,76610767.0
2019-02-19,276.48,278.58,276.47,277.85,59120804.0
2019-02-15,276.36,277.41,276.13,277.37,97088659.0
2019-02-14,273.78,275.64,272.87,274.38,83234396.0
2019-02-13,275.03,275.93,274.56,274.99,65277204.0
2019-02-12,272.42,274.52,272.34,274.1,72270221.0
2019-02-11,271.2,271.49,270.03,270.62,68021423.0
2019-02-08,268.75,270.58,267.83,270.47,75788861.0
2019-02-07,270.94,271.55,268.29,270.14,95481961.0
2019-02-06,272.79,273.34,271.92,272.74,58347791.0
2019-02-05,272.44,273.44,271.88,273.1,79552774.0
2019-02-04,270.11,272.03,269.36,271.96,60744844.0
2019-02-01,270.15,271.2,269.18,270.06,85782524.0
2019-01-31,267.51,270.47,267.27,269.93,104012073.0
2019-01-30,265.1,268.52,264.25,267.58,92473671.0
2019-01-29,263.92,264.55,262.48,263.41,66136334.0
2019-01-28,263.39,263.83,261.79,263.76,85613655.0
2019-01-25,265.61,266.7,263.66,265.78,96883358.0
2019-01-24,263.21,264.2,262.08,263.55,59204139.0
2019-01-23,264.01,264.79,260.66,263.41,86030287.0
2019-01-22,264.82,265.06,261.06,262.86,115531183.0
2019-01-18,264.98,266.98,263.0,266.46,127900303.0
2019-01-17,260.01,263.92,259.96,262.96,96118435.0
2019-01-16,260.83,261.97,260.6,260.98,77636710.0
2019-01-15,257.82,260.7,257.81,260.35,85208271.0
2019-01-14,256.86,258.3,256.41,257.4,70908227.0
2019-01-11,257.68,259.01,257.03,258.98,73858110.0
2019-01-10,256.26,259.16,255.5,258.88,96823923.0
2019-01-09,257.56,258.91,256.19,257.97,95006554.0
2019-01-08,256.82,257.31,254.0,256.77,102512587.0
2019-01-07,252.69,255.95,251.69,254.38,103139100.0
2019-01-04,247.59,253.11,247.17,252.39,142628834.0
2019-01-03,248.23,248.57,243.67,244.21,144140692.0
2019-01-02,245.98,251.21,245.95,250.18,126925199.0
2018-12-31,249.56,250.19,247.47,249.92,144299370.0
2018-12-28,249.58,251.4,246.45,247.75,153100189.0
2018-12-27,242.57,248.29,238.96,248.07,186267342.0
2018-12-26,235.97,246.18,233.76,246.18,218485360.0
2018-12-24,239.04,240.84,234.27,234.34,147311588.0
2018-12-21,246.74,249.71,239.98,240.7,255345633.0
2018-12-20,249.86,251.62,244.65,247.17,252053377.0
2018-12-19,255.17,259.4,249.35,251.26,214992763.0
2018-12-18,257.2,257.95,253.28,255.08,134515094.0
2018-12-17,259.4,260.65,253.53,255.36,165492257.0
2018-12-14,262.96,264.03,259.85,260.47,116961071.0
2018-12-13,266.52,267.49,264.12,265.37,96662717.0
2018-12-12,267.47,269.0,265.37,265.46,97976706.0
2018-12-11,267.66,267.87,262.48,264.13,121504431.0
2018-12-10,263.37,265.16,258.62,264.07,151445885.0
2018-12-07,269.46,271.22,262.63,263.57,161018923.0
2018-12-06,265.92,269.97,262.44,269.84,204185411.0
2018-12-04,278.37,278.85,269.9,270.25,177986013.0
2018-12-03,280.28,280.4,277.51,279.3,103017719.0
2018-11-30,273.81,276.28,273.45,275.65,98204190.0
2018-11-29,273.71,275.55,272.43,273.98,82346420.0
2018-11-28,269.6,274.58,268.33,274.58,127629633.0
2018-11-27,266.34,268.4,265.66,268.4,75502441.0
2018-11-26,265.78,267.75,265.34,267.5,79981362.0
2018-11-23,263.18,264.82,263.07,263.25,42807878.0
2018-11-21,265.86,267.15,265.01,265.02,75563743.0
2018-11-20,265.36,267.0,263.15,264.12,136021311.0
2018-11-19,273.05,273.38,268.07,269.1,103061706.0
2018-11-16,271.79,274.75,271.21,273.73,126668040.0
2018-11-15,268.78,273.54,267.01,273.02,135101437.0
2018-11-14,274.16,274.61,268.45,270.2,125335931.0
2018-11-13,273.09,275.33,271.25,272.06,98176610.0
2018-11-12,277.19,277.46,271.99,272.57,99673574.0
2018-11-09,279.03,279.24,276.18,277.76,98812561.0
2018-11-08,280.11,281.22,279.22,280.5,65584886.0
2018-11-07,277.56,281.1,277.08,281.01,102752099.0
2018-11-06,273.32,275.3,273.25,275.12,60085894.0
2018-11-05,272.44,274.01,271.35,273.39,65622482.0
2018-11-02,274.75,275.23,269.59,271.89,122634107.0
2018-11-01,271.6,273.73,270.38,273.51,99495037.0
2018-10-31,270.65,273.23,270.12,270.63,128296325.0
2018-10-30,263.67,268.12,263.12,267.77,157115995.0
2018-10-29,268.8,270.25,259.85,263.86,160749101.0
2018-10-26,265.92,271.0,262.29,265.33,201574596.0
2018-10-25,267.38,271.81,266.23,270.08,138061545.0
2018-10-24,273.33,273.76,264.7,265.32,177806697.0
2018-10-23,270.95,274.87,268.61,273.61,146352719.0
2018-10-22,277.0,277.36,274.41,275.01,82415812.0
2018-10-19,277.13,279.3,275.47,276.25,139901634.0
2018-10-18,279.4,280.07,274.97,276.4,134557525.0
2018-10-17,280.44,281.15,277.56,280.45,110625987.0
2018-10-16,276.6,280.82,276.07,280.4,118255834.0
2018-10-15,275.55,277.04,274.3,274.4,102263717.0
2018-10-12,276.77,277.09,272.37,275.95,183186492.0
2018-10-11,277.08,278.9,270.36,272.17,274840491.0
2018-10-10,286.83,286.91,277.88,278.3,214731042.0
2018-10-09,287.39,288.86,286.77,287.4,74338982.0
2018-10-08,287.05,288.22,285.5,287.82,87742172.0
2018-10-05,289.69,290.27,286.22,287.82,105951698.0
2018-10-04,291.18,291.24,287.66,289.44,111545910.0
2018-10-03,292.74,293.21,291.32,291.72,64694594.0
2018-10-02,291.56,292.36,291.14,291.56,47258227.0
2018-10-01,292.11,292.93,290.98,291.73,62078937.0
2018-09-28,289.99,291.28,289.95,290.72,70091385.0
2018-09-27,290.41,291.91,290.1,290.69,59249455.0
2018-09-26,290.91,292.24,289.41,289.88,79739674.0
2018-09-25,291.53,291.65,290.48,290.75,44370037.0
2018-09-24,291.34,291.5,290.37,291.02,53409645.0
2018-09-21,293.09,293.22,291.81,291.99,105479656.0
2018-09-20,292.64,293.94,291.24,293.58,100360646.0
2018-09-19,290.97,291.69,290.83,291.22,49080562.0
2018-09-18,289.58,291.58,289.55,290.91,61930407.0
2018-09-17,290.82,290.86,289.03,289.34,68244043.0
2018-09-14,291.06,291.27,290.0,290.88,55079875.0
2018-09-13,290.32,291.04,290.0,290.83,51034222.0
2018-09-12,289.06,289.8,288.23,289.12,59810758.0
2018-09-11,287.37,289.55,286.98,289.05,50530492.0
2018-09-10,288.74,289.04,287.88,288.1,50210903.0
2018-09-07,286.98,288.7,286.71,287.6,73524824.0
2018-09-06,289.15,289.49,287.0,288.16,65909863.0
2018-09-05,289.41,289.64,287.89,289.03,72452437.0
2018-09-04,289.84,290.21,288.68,289.81,57594367.0
2018-08-31,289.84,290.81,289.29,290.31,66140838.0
2018-08-30,290.94,291.36,289.63,290.3,61229501.0
2018-08-29,290.16,291.74,289.89,291.48,61485514.0
2018-08-28,290.3,290.42,289.4,289.92,46943472.0
2018-08-27,288.86,289.9,288.68,289.78,57072377.0
2018-08-24,286.44,287.67,286.38,287.51,57487399.0
2018-08-23,285.97,286.94,285.43,285.79,49204851.0
2018-08-22,285.88,286.76,285.58,286.17,44993333.0
2018-08-21,286.25,287.31,285.71,286.34,67271983.0
2018-08-20,285.57,285.97,285.06,285.67,39807490.0
2018-08-17,283.83,285.56,283.37,285.06,65618481.0
2018-08-16,283.4,285.04,283.36,284.06,69967919.0
2018-08-15,282.38,282.54,280.16,281.78,102925355.0
2018-08-14,282.92,284.17,282.48,283.9,43842031.0
2018-08-13,283.47,284.16,281.77,282.1,65732909.0
2018-08-10,283.45,284.06,282.36,283.16,77076044.0
2018-08-09,285.53,285.97,284.92,285.07,35716976.0
2018-08-08,285.39,285.91,284.94,285.46,42114551.0
2018-08-07,285.39,286.01,285.24,285.58,43196646.0
2018-08-06,283.64,284.99,283.2,284.64,39400887.0
2018-08-03,282.53,283.66,282.33,283.6,53935386.0
2018-08-02,279.39,282.58,279.16,282.39,63426363.0
2018-08-01,281.56,282.13,280.13,280.86,53853326.0
2018-07-31,280.81,282.02,280.38,281.33,68570493.0
2018-07-30,281.51,281.69,279.36,279.95,63742508.0
2018-07-27,283.71,283.82,280.38,281.42,76783177.0
2018-07-26,283.2,284.11,283.09,283.34,57919495.0
2018-07-25,281.33,284.37,281.28,284.01,78882927.0
2018-07-24,281.79,282.56,280.63,281.61,68026935.0
2018-07-23,279.45,280.43,279.06,280.2,47047565.0
2018-07-20,279.77,280.48,279.5,279.68,82372729.0
2018-07-19,280.31,280.74,279.46,280.0,61412117.0
2018-07-18,280.56,281.18,280.06,281.06,44593465.0
2018-07-17,278.47,280.91,278.41,280.47,52315500.0
2018-07-16,279.64,279.8,278.84,279.34,48201038.0
